run_index,chaos_region,Lyapunov_exponent,diffusion_alpha,predictive_information_peak,statistical_complexity,te_total_score,lambda_burst_count,lambda_burst_duration,lambda_burst_waiting_time,lambda_burst_peak,lambda_burst_fraction,entropy_burst_count,entropy_burst_duration,entropy_burst_waiting_time,entropy_burst_peak,entropy_burst_fraction,entropy_burst_distance,baseline_distance,inverse_distance_corr
0,strong_chaos,0.15577225387096405,0.02320181437924295,3.9202733039855957,10.532931046131559,0.0658562183380127,1,3.44,,0.40316087007522583,0.215,6,1.2600000000000002,0.04,0.052878618240356445,0.09025787965616046,0.8963602354159548,0.8401978066185068,0.18327888711040596
1,strong_chaos,0.1749785989522934,-0.028204408164584298,2.453792095184326,10.368974954384646,0.048169612884521484,1,1.4000000000000001,,0.3780503571033478,0.0875,14,0.5457142857142857,0.039999999999999994,0.054913605962480815,0.09121298949379178,1.1077158667627398,0.8767626101910886,-0.06088491567352463
2,strong_chaos,0.13121385872364044,-0.019631555704288636,3.021312713623047,10.46002157285872,0.04429006576538086,1,0.36,,0.3228115737438202,0.0225,12,0.6366666666666666,0.04363636363636363,0.05948070685068766,0.09121298949379178,0.9453099631603493,0.8676840457901228,-0.054177975319712406
3,strong_chaos,0.08746498078107834,0.022490800100559954,4.002478122711182,10.388629177738338,0.05351066589355469,1,1.48,,0.4085710346698761,0.0925,6,1.26,0.04,0.07359798749287923,0.09025787965616046,0.9612903038047541,0.9401464535458319,-0.06560150448393719
4,strong_chaos,0.12650921940803528,-0.10257465510983396,3.6819372177124023,10.435696346576968,0.044451236724853516,1,4.92,,0.7313311696052551,0.3075,12,0.6333333333333333,0.039999999999999994,0.04430735111236572,0.09073543457497613,0.9092872805584945,0.9179653553605448,0.27430918239611185
5,weak_chaos,0.06233201175928116,0.0011608947295584573,4.0107102394104,9.859847196272497,0.13012003898620605,1,1.4000000000000001,,0.37482506036758423,0.0875,17,0.4517647058823529,0.04,0.03595408271340763,0.09169054441260745,1.0084969281041198,0.9839543806481529,0.01737791732942084
6,intermediate,0.07126909494400024,0.006145233073755952,3.9548401832580566,9.74396553657333,0.06745338439941406,1,1.28,,0.35965216159820557,0.08,3,2.506666666666667,0.04,0.10636456807454427,0.08978032473734479,1.0149043133552882,1.0100868097426998,-0.03643057317605174
7,strong_chaos,0.10347089916467667,-0.042951322422168016,3.0642004013061523,10.528177194506274,0.04331231117248535,1,1.56,,0.38472720980644226,0.0975,2,3.74,0.04,0.13742351531982422,0.08930276981852914,1.006559033553874,0.9038201113876586,-0.07640996907958743
8,strong_chaos,0.11537329852581024,-0.043001180482440726,3.2344045639038086,10.476250696976813,0.04057669639587402,1,2.4,,0.42351990938186646,0.15,6,1.26,0.04,0.05481314659118652,0.09025787965616046,0.8997746209830555,0.9166341983345344,-0.002681165110474359
9,strong_chaos,0.0992869958281517,0.041975926314629534,3.6281304359436035,10.146109492646026,0.07205986976623535,1,1.28,,0.39510419964790344,0.08,8,0.9450000000000001,0.04,0.04245185852050781,0.09025787965616046,0.9514830042916538,0.9268288979702471,0.007697868673169708
10,strong_chaos,0.08253669738769531,-0.12836032487625906,3.1415252685546875,10.47236084608388,0.043982505798339844,1,1.68,,0.4628215730190277,0.105,9,0.8400000000000001,0.04,0.04390091366238064,0.09025787965616046,0.7369484482101192,0.8297682128149425,0.6262007782027921
11,weak_chaos,0.06209162250161171,0.06091483256841477,3.965219020843506,9.806358708690098,0.14119195938110352,1,1.36,,0.372287780046463,0.085,7,1.102857142857143,0.04,0.0964749881199428,0.09216809933142311,0.9991006200131157,0.9895597943505492,0.036905860075335195
12,weak_chaos,0.06344602257013321,0.2787960415263758,3.7318906784057617,10.404965763746546,0.05169987678527832,1,1.32,,0.3588986098766327,0.0825,3,2.5066666666666664,0.04,0.1014714241027832,0.08978032473734479,1.0114532187319967,0.9631646208263178,-0.0739588781446137
13,weak_chaos,0.06469033658504486,-0.01660170399102001,3.4906463623046875,10.175429440228733,0.0570063591003418,1,1.28,,0.35331597924232483,0.08,7,1.0857142857142856,0.04,0.06912953513009208,0.09073543457497613,1.007400024529836,0.9516630364387183,-0.0629448896146378
14,strong_chaos,0.2177729308605194,-0.22915857712862817,3.194711685180664,10.358810173258972,0.03672218322753906,1,3.68,,0.6163453459739685,0.23,11,0.6909090909090909,0.039999999999999994,0.04299562627618963,0.09073543457497613,0.8408026711411517,0.724755599717386,-0.05731417195162576
15,strong_chaos,0.08065994828939438,0.1314020511227632,3.869171142578125,10.381361805255917,0.05437326431274414,1,1.08,,0.3829401433467865,0.0675,8,0.9500000000000001,0.04,0.06600597500801086,0.09073543457497613,0.9484068978277091,0.9084806438001635,-0.07073911589701536
16,strong_chaos,0.08316491544246674,0.06738935527806532,2.641423225402832,10.214053508085195,0.014209985733032227,1,1.6400000000000001,,0.39917150139808655,0.1025,25,0.3072,0.04,0.035339069366455075,0.09169054441260745,0.7365766344536976,0.8163433390689097,0.004825154426742422
17,intermediate,0.06932077556848526,0.09175865215048859,3.861412525177002,10.363789270433475,0.09127426147460938,1,1.36,,0.36893555521965027,0.085,8,0.9450000000000001,0.04,0.05062556266784668,0.09025787965616046,0.9989700090099428,0.9898477203374579,0.029122551876855293
18,weak_chaos,0.06731988489627838,0.32802575938774475,3.945034980773926,10.291224811183424,0.059035539627075195,1,1.28,,0.3581276535987854,0.08,14,0.5457142857142858,0.039999999999999994,0.03518216950552804,0.09121298949379178,1.006250703318969,0.974990808168928,-0.06466081274351543
19,weak_chaos,0.06410491466522217,0.1926738477062857,3.9064602851867676,10.147086288443354,0.06046438217163086,1,1.24,,0.35385608673095703,0.0775,21,0.36571428571428577,0.04000000000000001,0.037766093299502417,0.09169054441260745,0.9939404713479483,0.9818945613192357,-0.03333119525637702
20,weak_chaos,0.0662887841463089,0.12061501284360499,3.706162452697754,10.092866238715732,0.04908490180969238,1,1.24,,0.3529503345489502,0.0775,26,0.29538461538461536,0.04,0.04562652111053467,0.09169054441260745,0.955231766364297,0.9874068649359858,-0.006678946352667818
21,strong_chaos,0.3554358184337616,0.0570244850758337,1.7030339241027832,10.198562636345532,0.035275936126708984,2,3.12,0.52,0.754623755812645,0.39,16,0.48,0.04,0.059360429644584656,0.09169054441260745,0.4619960543324102,0.8018712122920072,0.12571312080656388
22,strong_chaos,0.07700503617525101,-0.1885281548270641,3.7111940383911133,10.351957049633057,0.0615694522857666,1,1.48,,0.3892412483692169,0.0925,8,0.945,0.04,0.05690813064575195,0.09025787965616046,0.8242625427679477,0.8813540902296432,0.28793709087147307
23,strong_chaos,0.0745011493563652,0.18819821090418026,3.873626232147217,10.446770721270962,0.06720089912414551,1,1.36,,0.3658428490161896,0.085,10,0.764,0.04,0.0507540225982666,0.09121298949379178,1.0125704119029013,0.9882046022337783,0.021273494600328843
24,weak_chaos,0.06324631720781326,0.22579366573994156,3.9159059524536133,10.206288128537736,0.057064056396484375,1,1.28,,0.3574836850166321,0.08,18,0.4244444444444444,0.04,0.03376860088772244,0.09121298949379178,1.0066980573738578,0.9795917725292833,-0.06622992652623426
25,weak_chaos,0.06534115970134735,0.11051472322025589,3.895876884460449,10.081929582890076,0.06443500518798828,1,1.24,,0.3547861576080322,0.0775,33,0.23272727272727273,0.04,0.030336018764611446,0.09169054441260745,0.9799298121960611,0.9857727501297185,-0.04293896570719069
26,intermediate,0.07089895009994507,0.1662324275102421,3.7402353286743164,9.564615188980678,0.07625341415405273,1,1.24,,0.3546289801597595,0.0775,29,0.26482758620689656,0.04,0.03708772001595333,0.09169054441260745,0.9915930874835402,0.9963821960261366,-0.024463323096848903
27,intermediate,0.07169017940759659,0.4671083056835765,3.5180821418762207,10.028426122958388,0.05886125564575195,1,1.28,,0.35523784160614014,0.08,22,0.350909090909091,0.04000000000000001,0.04483040896329013,0.09216809933142311,1.0038845363836553,1.002457436543718,-0.028210773819734906
28,strong_chaos,0.07821972668170929,-0.04337320668675245,3.396787643432617,10.448713646492816,0.062041282653808594,1,1.52,,0.3781530559062958,0.095,9,0.8400000000000002,0.04,0.07059091991848415,0.09025787965616046,0.7742565877261269,0.9091767722042481,0.15306606576274664
29,strong_chaos,0.07482081651687622,0.28304044441084575,3.445852756500244,10.270632411455445,0.06762194633483887,1,1.36,,0.36294329166412354,0.085,7,1.0857142857142856,0.04,0.10372301510402135,0.09073543457497613,1.0062233590098013,0.9787381667504564,-0.017014091495862766
30,weak_chaos,0.06728444248437881,0.19228752183633468,3.775176525115967,10.096007179341711,0.05696558952331543,1,1.28,,0.3573281168937683,0.08,16,0.47750000000000004,0.04,0.032071471214294434,0.09121298949379178,1.0060401598095925,0.9838116781322367,-0.06799633996352246
