lag_step,lag_time,weak_chaos_mi_normalized_excess_mean,weak_chaos_mi_normalized_excess_std,weak_chaos_mi_excess_mean,weak_chaos_mi_excess_std,weak_chaos_te_forward_mean,weak_chaos_te_forward_std,weak_chaos_te_backward_mean,weak_chaos_te_backward_std,weak_chaos_te_net_mean,weak_chaos_te_net_std,strong_chaos_mi_normalized_excess_mean,strong_chaos_mi_normalized_excess_std,strong_chaos_mi_excess_mean,strong_chaos_mi_excess_std,strong_chaos_te_forward_mean,strong_chaos_te_forward_std,strong_chaos_te_backward_mean,strong_chaos_te_backward_std,strong_chaos_te_net_mean,strong_chaos_te_net_std
0,0.0,0.8017915913645641,0.16266629445924582,0.591793809881487,0.3630988037114963,nan,nan,nan,nan,nan,nan,0.7598995855901365,0.16824537912001303,0.12035291586157863,0.02568751465913272,nan,nan,nan,nan,nan,nan
10,0.1,0.7264272945833343,0.08176296913696458,0.5255529632110851,0.2797457347556356,0.005543500887449422,0.007793269001675809,0.005549030455452443,0.0064215030019012815,-5.529568003021304e-06,0.0022989022278564375,0.7496239387037025,0.08429797295110143,0.11930302248203876,0.016448643623889952,0.008187741252156423,0.00371681640875409,0.006312431556991861,0.0029347801998421625,0.0018753096951645623,0.001750699231940993
20,0.2,0.6890848940217487,0.146409492653618,0.4929285427646118,0.23783453124715845,0.008596134154169965,0.010893602595186864,0.0077271551154987185,0.008322707205883082,0.0008689790386712459,0.002871123276188913,0.7103138588283102,0.045730090597999554,0.11299938989810283,0.010860467401084746,0.010337244446204874,0.003327909461732372,0.009601941074223182,0.0029199279447611856,0.0007353033719816913,0.0020516797323433225
30,0.3,0.6638765025521509,0.1749905623955519,0.4815634023789541,0.2461344418594221,0.009611991399904454,0.006521367066886905,0.008697186769205868,0.005111098468446439,0.0009148046306985874,0.002091466475758282,0.8562811384751041,0.07198205991270155,0.1359080461600939,0.012361015988846293,0.006410752593693093,0.002146740684208422,0.0055001939224521065,0.002542422981738431,0.000910558671240988,0.0009083706053093463
40,0.4,0.6263855971626079,0.13633279287837846,0.446074483256098,0.20337932579071974,0.010277020622621683,0.008106672852045374,0.008859083635528099,0.006350196952960105,0.0014179369870935832,0.002019406188259087,0.9490476188115313,0.07268395012571084,0.15111694624441763,0.018086165055568287,0.004905910075542011,0.002347452193807492,0.00328516911329023,0.002274309962938458,0.0016207409622517818,0.001577840707798621
50,0.5,0.61500016300492,0.11030285953681326,0.4297989232316091,0.1781620967443621,0.010838760350366242,0.008540918989258602,0.010111717569198347,0.0073606919058382975,0.0007270427811678943,0.002354226551490696,0.9154350078093474,0.027685278409777282,0.14577801325744902,0.013829044134444598,0.0055904139069772926,0.00263959264791041,0.00571179092118448,0.003039483489611209,-0.0001213770142071878,0.0022913282880031942
60,0.6,0.5780327100085662,0.13404722352015275,0.39595811942208964,0.1579253134153423,0.011861772364237324,0.00864538856337618,0.010282416209052491,0.006278223075618465,0.0015793561551848338,0.003025238657417334,0.8859980977291292,0.05175134218431558,0.14045195245639785,0.0061731510898206735,0.005784085811515185,0.0020878936640882566,0.006751597544775551,0.0031382372290535703,-0.0009675117332603643,0.0017048917589018487
70,0.7000000000000001,0.5404460831650472,0.20215596015588796,0.3612888342585908,0.15996264330297078,0.010879285230560708,0.006501576212760764,0.008765962046547471,0.004330403449185046,0.002113323184013239,0.003512331575430039,0.8644413902341869,0.08848743324739518,0.13673700167410452,0.009461315441691494,0.0036953160785632667,0.001455213196326422,0.003769562455366855,0.0015341084538897617,-7.424637680358801e-05,0.001175572512440117
80,0.8,0.4988781595828562,0.1955032997037212,0.3390207531925258,0.169322447973658,0.010110272466925828,0.006376545713426198,0.009459141295393934,0.005065938883608582,0.0006511311715318927,0.001472079765822122,0.862649029400296,0.10166301728000736,0.13619842005084867,0.009804177247955955,0.001349142597221947,0.001039921044265656,0.0018143830298294847,0.0009090299993256228,-0.00046524043260753775,0.0008788541672483022
90,0.9,0.48737959694275723,0.172749288514056,0.33347343731994517,0.16538753338560946,0.013204946585971553,0.007772265568500734,0.010607437021627242,0.006579676120857671,0.0025975095643443113,0.002312003086249244,0.7479655182922411,0.11887390018225848,0.11816142083309411,0.01682054507137392,0.0014777594406243742,0.001750286323133967,0.0013863785987575888,0.0010335019193625412,9.138084186678525e-05,0.0015600369816860294
100,1.0,0.5103452132406818,0.15169455850081284,0.36243154812046774,0.19018343559106787,0.014689690285143659,0.007576377922763562,0.01195260433759384,0.007248007482308963,0.0027370859475498188,0.0016346555922413565,0.6585626614066376,0.1407016254441982,0.10398200207424198,0.021271698567850533,0.0020929084552510353,0.002109189306435323,0.0018465604645293992,0.0009787256977703425,0.0002463479907216362,0.00148226402955454
110,1.1,0.5404480809405239,0.14206177556018862,0.39294173821820344,0.20803679120427127,0.015462582698268537,0.006708992772406327,0.01339653073919254,0.0075060704178985145,0.0020660519590759954,0.002878953940516737,0.6043406397106351,0.11427390954774426,0.09583853146320402,0.018082801512420782,0.001927123983198815,0.001439362033571403,0.0029267482322227244,0.0015342060840450773,-0.0009996242490239095,0.0012094520015457691
120,1.2,0.5732401394479473,0.10986618838871592,0.4247881613202257,0.2245059838327358,0.012467008989342382,0.0050797233756842315,0.010533836052924178,0.005042790209207684,0.0019331729364182027,0.0024448565352136234,0.6070764933839108,0.09182566028778337,0.09598040727688897,0.012236900216684709,0.0016706383668929872,0.001418202669599631,0.002263598399468681,0.0009189148154795659,-0.0005929600325756939,0.0009143355069169242
130,1.3,0.6182515577088525,0.07566938604350709,0.461306227083332,0.24140974183015182,0.011488459409686552,0.004528047243151475,0.009916589103402743,0.0033528087203822054,0.0015718703062838092,0.0036704380849485433,0.6363089478458914,0.11628940953861158,0.10021226330080088,0.013806428944321228,0.0011929136281062466,0.0008930580102857455,0.0016166061826836677,0.0015370351470853647,-0.0004236925545774213,0.0013636538340625083
140,1.4000000000000001,0.6808063861099216,0.09533855624544058,0.5038715147580195,0.2594340556246044,0.010871886251068134,0.004963076153403498,0.010051989183787401,0.005208516146444576,0.0008198970672807342,0.001834916806710976,0.6714537657776063,0.1315811423528682,0.1057318275709828,0.01669276496770413,0.0014713620372608827,0.0013767094332667543,0.0019283142218534913,0.001375877819921355,-0.0004569521845926086,0.0015271099913001154
150,1.5,0.7784824925875405,0.1374174024993925,0.5799375761020049,0.3238189136960171,0.009168931707299894,0.008142939163951838,0.009866188442096125,0.008261574639690471,-0.0006972567347962323,0.002601131888650563,0.6804420400775699,0.12923862921862497,0.10743139014326689,0.017855319720659558,0.0010895045255593812,0.0008343189337111,0.0014773052297962865,0.0013203780163052708,-0.0003878007042369052,0.0008618958379206264
160,1.6,0.8042949765691525,0.13284057577734595,0.5908372627073437,0.3256236006764519,0.0032119886306160306,0.004179934792550755,0.004451114301037375,0.002409913713116674,-0.001239125670421344,0.002706487038956563,0.6851877577513539,0.09349746312872899,0.10844290814875941,0.012687590785279432,0.0012779343748783585,0.0005985398567075929,0.0010860608424977532,0.001083568760004144,0.00019187353238060527,0.0012627975973736778
170,1.7,0.7209872803979145,0.07987335955659737,0.5184307065727918,0.25460955698444826,0.0037343116799492164,0.004380430001850506,0.004354549898131823,0.0025582438345153977,-0.0006202382181826078,0.002332761678589342,0.6493036046894842,0.08575489347119325,0.10265012116454719,0.010527491763766925,0.0008099970899136388,0.0006742025241779272,0.0003960952602854371,0.0005597324887403266,0.00041390182962820174,0.0010659179928425827
180,1.8,0.6445492858224012,0.03881546309571611,0.4679690912444954,0.23348947503586337,0.005142632974680245,0.0035361962985686743,0.004656079776512679,0.0024008144651149273,0.0004865531981675641,0.00284392062761173,0.6281110435022177,0.06814403791234147,0.09944918438727579,0.009075175538028312,0.0007034366632255029,0.0008130634126425896,0.0004378649711786458,0.0004943634640390732,0.0002655716920468572,0.0007372765573855577
